"Title","Cost Center ","Brand","Serial","Register","RegisCard","DateBuy","Detail","Team","Link","Status","Modified By","NoSelect","FixType","DetailFix","Checked","LinkPic","LinkMail"
"30078171","48004","ปืนพก ""UZI"" แบบ กึ่งอัตโนมัติ ขนาด .9 มม. ลำกล้องยาว 4 นิ้ว","33303457 อูซี่","กท.4910745","ปค.2755/2549","6/19/2006","ตามบันทึกการโอนย้ายอาวุธ จำนวน 4 กระบอก จากทีมขนส่งฯให้ ทอศ.ซึ่ง ผอ.ฝรภ.ลงนาม อนุมัติเมื่อ 14 ธันวาคม 2565 - พายัพ บันทึกขอมูล","ทอศ.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467566","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528141","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9427684"
"30078172","48004","ปืนพก ""UZI"" แบบ กึ่งอัตโนมัติ ขนาด .9 มม. ลำกล้องยาว 4 นิ้ว","33303443 อูซี่","กท.4910743","ปค.2758/2549","6/19/2006","ตามบันทึกการโอนย้ายอาวุธ จำนวน 4 กระบอก จากทีมขนส่งฯให้ ทอศ.ซึ่ง ผอ.ฝรภ.ลงนาม อนุมัติเมื่อ 14 ธันวาคม 2565 - พายัพ บันทึกขอมูล","ทอศ.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467564","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528140","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9427684"
"30070973","48004","ปืนพก ""UZI"" แบบ กึ่งอัตโนมัติ ขนาด .9 มม. ลำกล้องยาว 4 นิ้ว","33308705 UZI","กท.4709034","04107/2547","8/4/2004","งานขนส่งธนบัตรฯ โอนปืนให้ สภน. วันที่ 22 กุมภาพันธ์ 2566
เป็นครุภัณฑ์ ฝรภ.
","สภน./ศชม.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467570","สภาพพร้อมใช้งาน","Surasit Pinnakthananit (สุรสิทธิ์ ปิ่นนาคธนานิษฐ์)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528121","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9631809"
"30070974","48004","ปืนพกสั้นกึ่งอัตโนมัติ Uzi","33308715 UZI","กท.4709035","04108/2547 โดยนายเสนีย์ศิริ ศิริวัฒนกุล","8/4/2004","งขส.โอนปืนพกสั้นกึ่งอัตโนมัติ Uzi 9 มม. ให้กับ สภอ. วันที่ 21 ธันวาคม 2565","สภอ./ศขก.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467560","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528122","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9632174"
"30070975","48004","ปืนพก ""UZI"" แบบ กึ่งอัตโนมัติ ขนาด .9 มม. ลำกล้องยาว 4 นิ้ว","33308774 Uzi","กท.4709049","04109/2547","8/4/2004","-22 มี.ค.66 สภต.รับมอบอาวุธปืนเพื่อใช้ในการรักษาความปลอดภัย","สภต./ศหญ.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467561","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528126","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9401974"
"30070976","48004","ปืนสั้นกึ่งอัตโนมัติ Uzi","33308778 UZI","กท.4709050","04110/2547","8/4/2004","ทขส.โอนปืนพกสั้นกึ่งอัตโนมัติ Uzi 9 มม. ให้กับ ทญศ. วันที่ 19 ธันวาคม 2565","ทญศ.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467562","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528127","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9631808"
"30070977","48004","ปืนสั้นกึ่งอัตโนมัติ Uzi","33308780 UZI","กท.4709051","04111/2547","8/4/2004","ทขส.โอนปืนพกสั้นกึ่งอัตโนมัติ Uzi 9 มม. ให้กับ ทญศ. วันที่ 19 ธันวาคม 2565","ทญศ.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467568","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528131","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9631808"
"30070978","48004","ปืนสั้นกึ่งอัตโนมัติ Uzi","33308784 UZI","กท.4709052","04112/2547","8/4/2004","ทขส.โอนปืนพกสั้นกึ่งอัตโนมัติ Uzi 9 มม. ให้กับ ทญศ. วันที่ 19 ธันวาคม 2565","ทญศ.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467563","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528134","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9631808"
"30066821","48004","ปืนลูกซองเดี่ยว ""Remington""  ลำกล้อง 20 นิ้ว","I053378V","กท.475013","0325/2533","2/15/1990","เป็นครุภัณฑ์ ฝรภ.","สภน./ศชม.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8064821","สภาพพร้อมใช้งาน","Surasit Pinnakthananit (สุรสิทธิ์ ปิ่นนาคธนานิษฐ์)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8506219",
"30076133","48001","ปืนลูกซองเดี่ยว ""Remington""  ลำกล้อง 20 นิ้ว","W982180M","กท.3254113","34/2533 ","2/6/1990","เป็นครุภัณฑ์ ฝรภ. เปลี่ยนรหัสครุภัณฑ์ จาก30003049 เป็น 30076133
","สภน./ศชม.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467501","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8506220",
